City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
321,Alta Floresta,BR,-9.8756,-56.0861,96.62,23,0,6.91,clear sky
322,Chimbote,PE,-9.0853,-78.5783,69.12,71,11,11.45,few clouds
323,Buraydah,SA,26.326,43.975,102.65,10,98,5.77,overcast clouds
324,Coruripe,BR,-10.1256,-36.1756,75.9,71,82,10.92,broken clouds
325,Jieshi,CN,22.8134,115.8257,84.56,84,16,8.16,few clouds
326,Manadhoo,MV,5.7667,73.3833,81.43,76,99,13.2,overcast clouds
327,Perambalur,IN,11.2333,78.8833,82.04,69,100,7.72,light rain
328,Sile,TR,41.1754,29.6133,77.67,63,0,1.01,clear sky
329,Bonnyville,CA,54.2668,-110.735,72.72,62,100,9.91,overcast clouds
330,Pala,TD,9.3642,14.9046,75.79,82,98,2.39,light rain
331,Preobrazheniye,RU,42.9019,133.9064,62.08,93,55,3.38,broken clouds
332,Talaya,RU,61.3833,152.75,50.2,78,39,2.01,scattered clouds
333,Wakkanai,JP,45.4094,141.6739,64.2,89,100,5.64,overcast clouds
334,Ambon,ID,-3.6954,128.1814,77.23,15,40,4.61,scattered clouds
335,Saint-Augustin,CA,51.226,-58.6502,74.66,57,98,11.48,overcast clouds
336,Mayo,US,38.8876,-76.5119,99.21,66,0,8.05,clear sky
337,Ocampo,MX,21.65,-101.5,73.63,37,93,12.5,overcast clouds
338,Kindia,GN,10.0569,-12.8658,71.2,95,95,1.23,light rain
339,Mount Isa,AU,-20.7333,139.5,49.77,76,0,2.3,clear sky
340,Mangai,CD,-4.05,19.5333,74.68,75,81,1.25,broken clouds
341,Saint-Joseph,RE,-21.3667,55.6167,66.58,79,23,10.29,few clouds
342,Krasnovka,RU,48.8177,40.0923,66.94,64,15,3.6,few clouds
343,Jurado,CO,7.1053,-77.7641,81.27,80,100,6.2,light rain
