City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
234,Lagos,NG,6.5833,3.75,73.78,94,100,2.42,light rain
235,Mount Isa,AU,-20.7333,139.5,67.77,42,0,8.05,clear sky
236,Dingle,PH,10.9995,122.6711,81.3,84,83,1.83,broken clouds
237,Ribeira Grande,PT,38.5167,-28.7,73.96,88,44,5.75,scattered clouds
238,Lewistown,US,40.5992,-77.5714,81.28,56,48,5.01,scattered clouds
239,Arlit,NE,18.7369,7.3853,93.29,27,93,7.99,overcast clouds
240,Mehamn,NO,71.0357,27.8492,49.95,87,100,20.71,light intensity drizzle
241,Port Lincoln,AU,-34.7333,135.8667,55.27,81,79,15.1,light rain
242,Adrar,MR,20.5022,-10.0711,89.85,41,45,17.2,scattered clouds
243,Baoqing,CN,46.3317,132.2111,69.21,88,100,6.02,overcast clouds
244,Santa Cecilia,BR,-26.9608,-50.4269,56.32,88,41,2.06,scattered clouds
245,Batemans Bay,AU,-35.7167,150.1833,58.23,65,38,1.81,scattered clouds
246,Namibe,AO,-15.1961,12.1522,63.03,89,30,0.34,scattered clouds
247,Cap-Aux-Meules,CA,47.3821,-61.8597,68.59,84,0,11.79,clear sky
248,Ancud,CL,-41.8697,-73.8203,44.22,90,98,2.53,overcast clouds
249,Bjornevatn,NO,69.6672,29.9847,52.14,82,100,9.22,overcast clouds
250,Qaanaaq,GL,77.484,-69.3632,37.56,99,100,1.12,overcast clouds
251,Ordubad,AZ,38.9059,46.0234,67.66,82,13,8.57,few clouds
252,Ruzhyn,UA,49.7228,29.2046,63.46,59,3,7.31,clear sky
253,Katherine,AU,-14.4667,132.2667,64.72,29,35,3.44,scattered clouds
254,Mezen,RU,65.8522,44.24,51.84,85,100,4.27,overcast clouds
255,Monrovia,LR,6.3005,-10.7969,76.23,78,100,8.81,overcast clouds
256,Severo-Kurilsk,RU,50.6789,156.125,56.52,90,58,2.51,broken clouds
257,Takoradi,GH,4.8845,-1.7554,74.7,83,71,7.61,broken clouds
258,Campos,BR,-21.75,-41.3,69.46,87,9,9.33,clear sky
259,Nagato,JP,34.3833,131.2,80.8,73,96,7.49,overcast clouds
260,Sampit,ID,-2.5333,112.95,75.56,94,78,2.55,broken clouds
261,Carbonia,IT,39.1672,8.5222,79.02,36,0,4.47,clear sky
262,Kaitangata,NZ,-46.2817,169.8464,43.47,63,45,1.81,scattered clouds
263,Rundu,NA,-17.9333,19.7667,57.29,43,5,5.97,clear sky
264,Grootfontein,NA,-19.5667,18.1167,57.49,42,41,3.8,scattered clouds
265,Zhezkazgan,KZ,47.8043,67.7144,69.87,34,31,8.46,scattered clouds
266,Pisco,PE,-13.7,-76.2167,60.85,88,100,3.44,mist
267,Ilulissat,GL,69.2167,-51.1,38.53,99,100,1.66,overcast clouds
268,Buala,SB,-8.145,159.5921,85.6,65,7,7.0,clear sky
269,Yuksekova,TR,37.5736,44.2872,53.35,58,20,1.14,few clouds
270,Dicamay,PH,16.7561,122.0037,80.69,85,96,1.23,overcast clouds
271,Knysna,ZA,-34.0363,23.0471,52.83,78,84,8.01,light rain
272,Skibbereen,IE,51.55,-9.2667,62.76,83,92,19.26,overcast clouds
